source,query,link_name,method,components,crossings,volume,solution_type,mark,is_brunnian,is_borromean,error
ht_table,L6a4,L6a4,nr,3,6,7.327725,all tetrahedra positively oriented,,True,True,
ht_table,L10a140,L10a140,nr,3,10,12.276278,all tetrahedra positively oriented,,True,True,
ht_table,L10n107,L10n107,nr,4,10,7.327725,contains degenerate tetrahedra,,False,True,
ht_table,L11a434,L11a434,nr,3,11,17.155575,all tetrahedra positively oriented,,True,True,
ht_table,L11n436,L11n436,nr,3,11,7.327725,contains degenerate tetrahedra,,True,True,
ht_table,L12a1537,L12a1537,nr,3,12,19.318997,all tetrahedra positively oriented,,True,True,
ht_table,L12a1882,L12a1882,nr,3,12,21.631599,all tetrahedra positively oriented,,True,True,
ht_table,L12a1896,L12a1896,nr,3,12,20.143566,all tetrahedra positively oriented,,True,True,
ht_table,L12a1901,L12a1901,nr,3,12,19.056388,all tetrahedra positively oriented,,True,True,
ht_table,L12a1976,L12a1976,nr,4,12,20.036898,all tetrahedra positively oriented,,False,True,
ht_table,L12n1721,L12n1721,nr,3,12,14.951387,all tetrahedra positively oriented,,True,True,
ht_table,L12n1933,L12n1933,nr,3,12,10.991587,contains degenerate tetrahedra,,True,True,
ht_table,L13a5448,L13a5448,nr,3,13,21.909237,all tetrahedra positively oriented,,True,True,
ht_table,L13a5454,L13a5454,nr,3,13,22.637609,all tetrahedra positively oriented,,True,True,
ht_table,L13a7062,L13a7062,nr,3,13,25.382256,all tetrahedra positively oriented,,True,True,
ht_table,L13a7125,L13a7125,nr,3,13,24.602946,all tetrahedra positively oriented,,True,True,
ht_table,L13a7126,L13a7126,nr,3,13,23.944683,all tetrahedra positively oriented,,True,True,
ht_table,L13a7423,L13a7423,nr,4,13,23.208883,all tetrahedra positively oriented,,False,True,
ht_table,L13n7369,L13n7369,nr,3,13,17.811297,all tetrahedra positively oriented,,True,True,
ht_table,L13n9662,L13n9662,nr,3,13,12.661215,contains degenerate tetrahedra,,True,True,
ht_table,L13n10133,L13n10133,nr,3,13,17.733693,all tetrahedra positively oriented,,True,True,
ht_table,L13n11262,L13n11262,nr,4,13,17.627754,all tetrahedra positively oriented,,False,True,
ht_table,L14a23025,L14a23025,nr,3,14,26.035955,all tetrahedra positively oriented,,True,True,
ht_table,L14a23033,L14a23033,nr,3,14,26.472128,all tetrahedra positively oriented,,True,True,
ht_table,L14a23093,L14a23093,nr,3,14,22.763572,all tetrahedra positively oriented,,True,True,
ht_table,L14a24828,L14a24828,nr,3,14,20.49839,all tetrahedra positively oriented,,True,True,
ht_table,L14a24829,L14a24829,nr,3,14,13.569512,all tetrahedra positively oriented,,True,True,
ht_table,L14a29307,L14a29307,nr,3,14,27.261833,all tetrahedra positively oriented,,True,True,
ht_table,L14a29424,L14a29424,nr,3,14,26.681328,all tetrahedra positively oriented,,True,True,
ht_table,L14a29426,L14a29426,nr,3,14,26.087307,all tetrahedra positively oriented,,True,True,
ht_table,L14a29598,L14a29598,nr,3,14,23.741892,all tetrahedra positively oriented,,True,True,
ht_table,L14a29599,L14a29599,nr,3,14,26.976104,all tetrahedra positively oriented,,True,True,
ht_table,L14a29605,L14a29605,nr,3,14,21.511101,all tetrahedra positively oriented,,True,True,
ht_table,L14a29611,L14a29611,nr,3,14,23.805713,all tetrahedra positively oriented,,True,True,
ht_table,L14a29616,L14a29616,nr,3,14,17.985206,all tetrahedra positively oriented,,True,True,
ht_table,L14a29762,L14a29762,nr,3,14,28.975106,all tetrahedra positively oriented,,True,True,
ht_table,L14a29896,L14a29896,nr,3,14,28.152751,all tetrahedra positively oriented,,True,True,
ht_table,L14a29897,L14a29897,nr,3,14,28.483717,all tetrahedra positively oriented,,True,True,
ht_table,L14a30835,L14a30835,nr,4,14,24.885042,all tetrahedra positively oriented,,False,True,
ht_table,L14a30908,L14a30908,nr,4,14,26.06022,all tetrahedra positively oriented,,False,True,
ht_table,L14a31782,L14a31782,nr,5,14,27.626557,all tetrahedra positively oriented,,False,True,
ht_table,L14n43422,L14n43422,nr,3,14,18.380304,all tetrahedra positively oriented,,True,True,
ht_table,L14n49573,L14n49573,nr,3,14,19.269538,all tetrahedra positively oriented,*,True,True,
ht_table,L14n50824,L14n50824,nr,3,14,19.269538,all tetrahedra positively oriented,*,True,True,
ht_table,L14n54478,L14n54478,nr,3,14,13.465864,contains degenerate tetrahedra,,True,True,
ht_table,L14n56195,L14n56195,nr,3,14,19.352634,all tetrahedra positively oriented,,True,True,
ht_table,L14n58198,L14n58198,nr,3,14,21.733843,all tetrahedra positively oriented,**,True,True,
ht_table,L14n58424,L14n58424,nr,3,14,22.228495,all tetrahedra positively oriented,***,True,True,
ht_table,L14n58426,L14n58426,nr,3,14,22.160779,all tetrahedra positively oriented,,True,True,
ht_table,L14n58595,L14n58595,nr,3,14,15.636551,all tetrahedra positively oriented,,True,True,
ht_table,L14n58606,L14n58606,nr,3,14,20.80469,all tetrahedra positively oriented,,True,True,
ht_table,L14n58612,L14n58612,nr,3,14,21.482774,all tetrahedra positively oriented,,True,True,
ht_table,L14n58669,L14n58669,nr,3,14,20.143566,all tetrahedra positively oriented,****,True,True,
ht_table,L14n58802,L14n58802,nr,3,14,21.631599,all tetrahedra positively oriented,,True,True,
ht_table,L14n58803,L14n58803,nr,3,14,21.733843,all tetrahedra positively oriented,**,True,True,
ht_table,L14n58924,L14n58924,nr,3,14,22.228495,all tetrahedra positively oriented,***,True,True,
ht_table,L14n58925,L14n58925,nr,3,14,20.143566,all tetrahedra positively oriented,****,True,True,
ht_table,L14n58956,L14n58956,nr,3,14,20.143566,all tetrahedra positively oriented,****,True,True,
ht_table,L14n59991,L14n59991,nr,4,14,17.477141,all tetrahedra positively oriented,,False,True,
ht_table,L14n61953,L14n61953,nr,4,14,19.951417,all tetrahedra positively oriented,,False,True,
ht_table,L14n62224,L14n62224,nr,4,14,12.276278,contains degenerate tetrahedra,,False,True,
ht_table,L14n62566,L14n62566,nr,4,14,14.65545,contains degenerate tetrahedra,*****,True,True,
ht_table,L14n63195,L14n63195,nr,4,14,14.65545,contains degenerate tetrahedra,*****,True,True,
ht_table,L14n63856,L14n63856,nr,5,14,21.983174,all tetrahedra positively oriented,,False,True,
ht_table,L14n64050,L14n64050,nr,5,14,7.327725,contains degenerate tetrahedra,,False,True,
