source,query,link_name,method,components,crossings,volume,solution_type,mark,is_brunnian,is_borromean,error
ht_table,L6a4,L6a4,simplify,3,6,7.327725,all tetrahedra positively oriented,,True,True,
ht_table,L10a140,L10a140,simplify,3,10,12.276278,all tetrahedra positively oriented,,True,True,
ht_table,L10n107,L10n107,simplify,4,10,7.327725,contains degenerate tetrahedra,,False,True,
ht_table,L11a434,L11a434,simplify,3,11,17.155575,all tetrahedra positively oriented,,True,True,
ht_table,L11n436,L11n436,simplify,3,11,7.327725,contains degenerate tetrahedra,,True,True,
ht_table,L12a1537,L12a1537,simplify,3,12,19.318997,all tetrahedra positively oriented,,True,True,
ht_table,L12a1882,L12a1882,simplify,3,12,21.631599,all tetrahedra positively oriented,,True,True,
ht_table,L12a1896,L12a1896,simplify,3,12,20.143566,all tetrahedra positively oriented,,True,True,
ht_table,L12a1901,L12a1901,simplify,3,12,19.056388,all tetrahedra positively oriented,,True,True,
ht_table,L12a1976,L12a1976,simplify,4,12,20.036898,all tetrahedra positively oriented,,False,True,
ht_table,L12n1721,L12n1721,simplify,3,12,14.951387,all tetrahedra positively oriented,,True,True,
ht_table,L12n1933,L12n1933,simplify,3,12,10.991587,contains degenerate tetrahedra,,True,True,
ht_table,L13a5448,L13a5448,simplify,3,13,21.909237,all tetrahedra positively oriented,,True,True,
ht_table,L13a5454,L13a5454,simplify,3,13,22.637609,all tetrahedra positively oriented,,True,True,
ht_table,L13a7062,L13a7062,simplify,3,13,25.382256,all tetrahedra positively oriented,,True,True,
ht_table,L13a7125,L13a7125,simplify,3,13,24.602946,all tetrahedra positively oriented,,True,True,
ht_table,L13a7126,L13a7126,simplify,3,13,23.944683,all tetrahedra positively oriented,,True,True,
ht_table,L13a7423,L13a7423,simplify,4,13,23.208883,all tetrahedra positively oriented,,False,True,
ht_table,L13n7369,L13n7369,simplify,3,13,17.811297,all tetrahedra positively oriented,,True,True,
ht_table,L13n9662,L13n9662,simplify,3,13,12.661215,contains degenerate tetrahedra,,True,True,
ht_table,L13n10133,L13n10133,simplify,3,13,17.733693,all tetrahedra positively oriented,,True,True,
ht_table,L13n11262,L13n11262,simplify,4,13,17.627754,all tetrahedra positively oriented,,False,True,
ht_table,L14a23025,L14a23025,simplify,3,14,26.035955,all tetrahedra positively oriented,,True,True,
ht_table,L14a23033,L14a23033,simplify,3,14,26.472128,all tetrahedra positively oriented,,True,True,
ht_table,L14a23093,L14a23093,simplify,3,14,22.763572,all tetrahedra positively oriented,,True,True,
